ship_imo;ship_name;country;departure;container_id;container_type;container_group;net_weight;gross_weight;owner;declared;contact;customs_ok
TCU1641123;New Margarete;NU;201602202;XKAO1357085;4064;22T0;4888751.27;146662.54;Mante, Lebsack and Bashirian;Kids, Outdoors, Shoes & Industrial;ervin@kaulke.name;false
MBV1836745;Port Guiseppeburgh;NO;2016021915;JYPA1889923;22RE;22UP;85834849.83;2575045.49;Connelly and Sons;Sports & Electronics;lucinda_medhurst@nicolas.name;true
POG1615575;Lake Eribertoland;CR;2016021611;GKXC1181753;45RC;28VH;5407637.6;540763.76;Jones, Hegmann and Prohaska;Electronics, Toys & Tools;julian@gulgowski.net;true
AEY1108363;Juana;AG;2016021917;GJFL14A2798;4370;28VH;18011848.16;540355.44;Stiedemann, Abernathy and Heidenreich;Garden, Games, Clothing & Electronics;dustin@wisoky.co;true
KSP1096387;Wiley;CF;201602199;EHIM1104715;2240;28VH;17989071.79;539672.15;Torphy, Koch and Dach;Clothing, Movies, Electronics, Beauty & Shoes;andreane@kautzer.io;true
DEJ1128330;Tiara;GP;2016021818;CTVU1506A832;2410;28VH;120606058.96;6030302.95;Ullrich LLC;Books, Health, Kids & Automotive;larry@cole.net;true
NLH1771681;Port Noemie;TC;201602165;PYOT1058867;22BU;L5G1;28490254.19;1424512.71;Gottlieb, Beahan and Dietrich;Industrial;roselyn@trantow.info;true
DEJ1128330;Tiara;GP;2016021818;WXSY1119784;4126;L5G1;106472615.5;3194178.47;Hand Inc;Grocery, Kids, Games, Clothing & Outdoors;beverly@pfannerstillblick.name;true
YZX1455509;Marksshire;CH;2016021712;OKXC1217261;42V0;45G0;24347998.02;2434799.8;Kassulke-Monahan;Toys & Kids;creola@beatty.info;true
FUS1202266;East Mustafaland;GU;2016021816;OUNE1930186;4102;28VH;7227750.28;361387.51;Blanda, O'Conner and Sawayn;Computers, Garden, Clothing, Music & Games;adonis@baileykoelpin.com;true
MBV1836745;Port Guiseppeburgh;NO;2016021915;WIUO1383856;4031;22UP;72368517.63;2171055.53;Barrows Inc;Jewelery, Games, Beauty & Sports;verdie.kovacek@jacobshaag.name;true
JMP1637582;East Zechariahland;AQ;2016021513;KLDZ1900333;4420;29P0;32704666.9;1635233.35;Hudson-Wisozk;Sports & Outdoors;willis.rau@hudson.co;true
NLH1771681;Port Noemie;TC;201602165;EHAZ1558662;42B5;45G0;123461748.94;12346174.89;Lockman and Sons;Movies, Jewelery, Home & Outdoors;colten.johnston@mosciskikozey.org;true
FUS1202266;East Mustafaland;GU;2016021816;MVEH1057923;48P3;8888;39011546.86;1170346.41;Howell-Schuster;Tools, Health, Toys & Movies;katherine.bosco@vonruedenberge.info;true
TCU1641123;New Margarete;NU;201602202;TVSN1337277;2771;22B0;11412280.34;342368.41;Stroman LLC;Toys;tianna@bogan.net;true
KSP1096387;Wiley;CF;201602199;KAXN1689141;40T7;22R1;42994837.04;2149741.85;Aufderhar-Koss;Computers;jeremie@hickle.biz;false
POG1615575;Lake Eribertoland;CR;2016021611;CDGP1673672;2212;22VH;15481002.16;774050.11;Haag LLC;Health, Computers, Kids, Grocery & Books;katlyn.weimann@eichmann.com;true
YZX1455509;Marksshire;CH;2016021712;IJWDR1216916;2164;28VH;9730416.23;486520.81;Mante, Cruickshank and Runolfsson;Beauty, Games & Jewelery;kevon@considine.net;true
GEU1548633;Lomaton;CK;201602204;SFYD1735042;22PF;L5R1;176039336.91;8801966.85;Batz, Botsford and Heaney;Industrial, Electronics & Books;sylvan.ryan@moore.co;true
KSP1096387;Wiley;CF;201602199;ZAPC1629769;2361;28VH;11684849.52;350545.49;Kunze, Wunsch and Frami;Sports;marjolaine.bechtelar@walker.com;true
NLH1771681;Port Noemie;TC;201602165;MTXR1152012;20R2;L5R1;6976043.88;209281.32;Runolfsson-MacGyver;Electronics, Sports, Industrial, Toys & Movies;michaela@renner.biz;true
GYR1192020;Emardland;RU;201602156;XKYR1609126;40B3;28VH;23316428.46;699492.85;Emard and Sons;Toys & Garden;dayna.schuster@stiedemann.name;true
AMC1861710;Jayden;BD;201602183;IDPQ1203793;2072;28VH;8086973.67;404348.68;Goldner-Spinka;Clothing, Jewelery, Automotive, Sports & Shoes;romaine@prohaskamarquardt.net;true
JCI1797526;Herminio;KH;2016021610;LEYN1818225;28G0;28VH;285331100.79;14266555.04;Schmitt, Reichel and Schaefer;Books & Movies;edmund_bosco@strosin.info;true
JMP1637582;East Zechariahland;AQ;2016021513;HQRZ1534820;29P0;28VH;5449952.65;544995.27;Langosh-Kovacek;Shoes, Beauty, Grocery, Books & Computers;alec@zulauf.co;false
GEU1548633;Lomaton;CK;201602204;BFDE1169921;40H0;22R1;4606422.78;230321.14;O'Reilly and Sons;Tools, Automotive & Jewelery;margret_mcglynn@gaylord.net;true
NCZ1777367;East Savanahton;ER;2016021920;EJIY1208990;22G2;42T0;15610854.26;1561085.43;Prosacco and Sons;Electronics, Baby & Health;minerva@parisian.io;true
FUS1202266;East Mustafaland;GU;2016021816;QOTJ1139580;9532;42T0;4487368.85;134621.07;Kessler, Gibson and D'Amore;Baby & Books;mattie.ebert@jastmurphy.info;true
GLV1922612;Eulalia;TD;201602178;QKJF1512895;4080;L5R1;131990936.74;3959728.1;Hackett and Sons;Tools, Movies, Books, Computers & Clothing;bud_schneider@mclaughlin.co;false
AEY1108363;Juana;AG;2016021917;EKWN1446270;24HR;42T0;78849415.89;2365482.48;Wiza, Kirlin and Blanda;Games, Movies, Books, Home & Computers;santiago.ryan@ritchie.info;true
YZX1455509;Marksshire;CH;2016021712;USQR1700111;28VH;28VH;183078527.84;9153926.39;Rolfson, O'Kon and Gerhold;Jewelery, Beauty & Toys;alena.damore@ernserkautzer.io;false
JMP1637582;East Zechariahland;AQ;2016021513;IZSB1953388;20V0;42T0;69326155.84;6932615.58;Ankunding-Green;Automotive, Music & Home;brayan@grimes.co;true
JMP1637582;East Zechariahland;AQ;2016021513;HRTP1868114;4CG0;L5G1;35374649.36;3537464.94;Harvey, Doyle and Schimmel;Home, Games & Books;polly@konopelski.org;true
GLV1922612;Eulalia;TD;201602178;KQRD1982807;22GP;28VH;12305209.01;615260.45;Hagenes, Sawayn and Witting;Automotive, Beauty, Shoes, Industrial & Clothing;dan.ankunding@kunde.biz;true
IWE1254579;North Creola;HR;2016021919;OVMU1118217;40UT;12TR;51526361.89;5152636.19;Kunde, Kessler and Hahn;Games;milo_donnelly@rohankirlin.co;true
YZX1455509;Marksshire;CH;2016021712;CYLN1780719;45G2;28VH;60031979.9;6003197.99;Grant-Nikolaus;Industrial, Sports & Games;caandre_ortiz@shanahan.com;true
FUS1202266;East Mustafaland;GU;2016021816;HYBC1603821;2261;28VH;13167143.68;395014.31;Kuhlman-Wilkinson;Electronics, Health & Baby;adriana@dare.net;true
DEJ1128330;Tiara;GP;2016021818;FNTE1692533;2260;12TR;55081792.51;2754089.63;Brekke-Oberbrunner;Movies & Grocery;keeley.leuschke@daniel.name;true
RYP1117603;New Santinoberg;AZ;201602187;XJWC1316356;2275;8888;10857396.97;1085739.7;Feeney-Fisher;Health, Sports, Movies & Outdoors;halie_stiedemann@millslabadie.co;true
IWE1254579;North Creola;HR;2016021919;DYOS1675191;20G3;28VH;30697443.64;920923.31;Mosciski LLC;Sports;rickie@franecki.org;true
NCZ1777367;East Savanahton;ER;2016021920;AYNZ1241071;4264;28VH;42202504.95;4220250.5;Schoen, Willms and Gaylord;Tools, Home, Music, Automotive & Beauty;freida@kling.io;true
GEU1548633;Lomaton;CK;201602204;WZQU1233232;2275;28VH;34399296.64;1719964.83;Runolfsson-Klein;Movies & Industrial;kaelyn@gutkowski.org;true
AMC1861710;Jayden;BD;201602183;CGTA1575689;42TN;L5G1;68606666.94;2058200.01;Schmeler, Jaskolski and Bins;Games, Garden, Tools & Computers;ashleigh@yostwest.co;true
SQH1155999;Aileen;GN;201602191;ETHF1230333;2240;28VH;40490971.5;4049097.15;Greenfelder-Wunsch;Kids, Baby & Shoes;dudley@schroedervolkman.biz;true
AEY1108363;Juana;AG;2016021917;MIBX1385176;42T6;L5R1;46219356.02;1386580.68;Mertz, Streich and Purdy;Movies, Baby, Toys, Clothing & Automotive;roscoe@adams.com;true
DEJ1128330;Tiara;GP;2016021818;XIGN1561806;42R9;45G0;10625694.38;531284.72;Jacobi, Gaylord and Graham;Jewelery, Baby, Games, Clothing & Industrial;aimee_kuvalis@gradyblanda.info;true
AMC1861710;Jayden;BD;201602183;MDCR1432928;20T6;28VH;83284230.09;2498526.9;Reynolds Inc;Toys, Shoes & Movies;kaylin.wyman@hyatt.com;true
YZX1455509;Marksshire;CH;2016021712;CWFZ1507014;42HI;28VH;15641979.18;469259.38;Ruecker Group;Grocery, Movies, Automotive & Beauty;molly@cronin.net;true
JMP1637582;East Zechariahland;AQ;2016021513;YECL1500155;4361;28VH;172959192.68;5188775.78;Corwin Inc;Automotive, Books & Jewelery;renee@batz.com;true
GEU1548633;Lomaton;CK;201602204;VWXC1808141;4010;28VH;15438877.45;1543887.75;Schulist-Torphy;Music, Beauty & Garden;thomas@wintheiserwiegand.org;true
RYP1117603;New Santinoberg;AZ;201602187;SQLY1360635;40U1;22B0;37578736.18;1878936.81;Swift and Sons;Kids, Toys, Tools, Jewelery & Games;selina.waters@bernier.biz;true
NCZ1777367;East Savanahton;ER;2016021920;OKANR1240284;45G1;22P1;35522392.74;1065671.78;Mertz, Lindgren and Zulauf;Music, Books, Garden, Sports & Automotive;magnus.fritsch@gerlachdicki.biz;true
FUS1202266;East Mustafaland;GU;2016021816;QVIS1523425;42TG;22UP;205553927.99;10277696.4;Koss-Rempel;Sports;michelle_spencer@medhurst.co;true
YZX1455509;Marksshire;CH;2016021712;FJVZ1991672;20RS;42R1;45623538.35;4562353.84;Wolff-Batz;Movies, Shoes, Beauty & Sports;hanna_mitchell@nienow.biz;true
SQH1155999;Aileen;GN;201602191;MQEK1576631;24RE;28VH;12484520.98;624226.05;Gaylord LLC;Automotive;oren@lemke.biz;true
RYP1117603;New Santinoberg;AZ;201602187;IHUY1768183;40RS;28VH;46951600.12;2347580.01;Kemmer Group;Baby, Computers, Automotive, Kids & Games;laney.prohaska@starkbruen.biz;true
POG1615575;Lake Eribertoland;CR;2016021611;MRJY1356860;44R1;28VH;40179002.01;4017900.2;Steuber and Sons;Movies;enoch_fadel@west.org;true
MBV1836745;Port Guiseppeburgh;NO;2016021915;YBZA1370157;L2RT;42G0;147694822.75;4430844.68;Weber, Senger and Eichmann;Tools;lawrence.mcdermott@barrows.co;true
RYP1117603;New Santinoberg;AZ;201602187;CAET1088752;4215;28VH;13028703.2;1302870.32;Goldner and Sons;Kids & Garden;jorge.casper@kovacek.info;true
RYP1117603;New Santinoberg;AZ;201602187;TOKR1036053;20R3;28VH;8273417.95;248202.54;Kling-Bergstrom;Jewelery, Automotive, Books, Health & Electronics;lindsey@brekke.biz;true
YZX1455509;Marksshire;CH;2016021712;EBWA1179616;4101;22UP;86748819.03;4337440.95;Donnelly-Keebler;Grocery, Games, Beauty & Electronics;jerry_balistreri@kilback.com;true
DEJ1128330;Tiara;GP;2016021818;WBHG1717479;40G1;28VH;12133910.49;1213391.05;Cormier, Daugherty and Windler;Home & Shoes;leonardo.krajcik@ruel.co;true
KSP1096387;Wiley;CF;201602199;DZSF1870654;9500;42VH;110480750.05;5524037.5;Heathcote LLC;Industrial, Outdoors, Games, Garden & Movies;neha_bogisich@hauck.info;true
TCU1641123;New Margarete;NU;201602202;OMLP1997239;2234;42T0;111720316.03;3351609.48;Johnston, Schaefer and Bashirian;Automotive, Movies & Computers;breanne.kuhn@vonrueden.com;true
GLV1922612;Eulalia;TD;201602178;CWBK1990414;L5RS;28VH;116015719.19;5800785.96;Sanford Group;Outdoors, Movies, Clothing, Computers & Automotive;jason_connelly@crooks.io;true
IWE1254579;North Creola;HR;2016021919;WUCN1722499;2231;28VH;162188349.67;16218834.97;Yost LLC;Electronics & Music;brady_terry@wuckert.name;true
MBV1836745;Port Guiseppeburgh;NO;2016021915;WZSO1549824;2013;28VH;148529449.72;14852944.97;Becker, Cormier and Corwin;Toys, Automotive, Jewelery, Baby & Kids;eugene@botsford.org;true
DEJ1128330;Tiara;GP;2016021818;ZKXM1966654;2302;22H0;34489656.79;3448965.68;Pouros, Schaefer and Lakin;Outdoors & Home;flavie@kunze.biz;true
GEU1548633;Lomaton;CK;201602204;NDIB1764675;2272;42T0;161381951.42;4841458.54;Miller, Casper and Green;Tools, Home, Computers, Shoes & Movies;prince@bahringerwalsh.io;true
GEU1548633;Lomaton;CK;201602204;ZNQO1799680;4253;28VH;20576534.89;1028826.74;Herzog, Bogan and Bahringer;Electronics, Kids, Jewelery, Garden & Movies;jannie@simonis.io;true
NCZ1777367;East Savanahton;ER;2016021920;AHZR1995399;28VH;28VH;34555161.61;1727758.08;Stroman LLC;Tools, Baby, Beauty & Clothing;boris.mills@bins.com;true
RYP1117603;New Santinoberg;AZ;201602187;PYQR1212280;22V3;42R1;28508452.8;855253.58;Johns, Yundt and Beahan;Garden & Sports;winfield_willms@dooley.net;true
GYR1192020;Emardland;RU;201602156;AYWQ1693963;4132;22P1;85249324.63;2557479.74;Ruecker, Williamson and Heathcote;Computers;caterina@dickinson.name;true
AEY1108363;Juana;AG;2016021917;IQCA1512283;40B5;29P0;31835974.04;1591798.7;Kessler Inc;Garden, Movies, Games, Toys & Industrial;vance@turcotte.info;true
GEU1548633;Lomaton;CK;201602204;YZRV1213932;20V4;42U1;14263895.9;427916.88;Carter, Hauck and Hilpert;Kids & Shoes;jefferey_pfannerstill@walshfisher.biz;true
GYR1192020;Emardland;RU;201602156;WOPA1316621;28U2;L5R1;129766551.71;6488327.59;Willms-Grady;Tools, Shoes, Toys, Beauty & Outdoors;kevon@willms.info;true
SQH1155999;Aileen;GN;201602191;NSKT1632570;48P5;28VH;26685393.21;800561.8;Schaefer-Klein;Music & Kids;rosanna_barrows@little.io;true
KSP1096387;Wiley;CF;201602199;PHJW1108226;20H5;42R1;39103344.16;1955167.21;Hansen, Carter and Grant;Clothing, Toys & Grocery;jakayla_littel@goodwinwyman.co;true
TCU1641123;New Margarete;NU;201602202;YNHL1744872;42P6;42U1;25386475.46;2538647.55;Feest-Mraz;Toys, Garden & Clothing;gianni_aufderhar@quigleymertz.com;true
RYP1117603;New Santinoberg;AZ;201602187;FXCI1466396;4201;8888;60363873.65;1810916.21;Feeney Inc;Games, Grocery, Books & Outdoors;alexandrea@pfannerstilloconnell.name;true
NCZ1777367;East Savanahton;ER;2016021920;BSKU1788634;4020;42U1;21474568.82;644237.06;Bode-Collins;Garden, Sports, Music, Industrial & Grocery;carmella_kuhlman@trantowbednar.net;true
SQH1155999;Aileen;GN;201602191;WEGT1272472;42B3;22B0;182711334.28;5481340.03;Hilll-Leuschke;Sports, Toys, Kids, Games & Shoes;bartholome@dickinson.net;true
SQH1155999;Aileen;GN;201602191;VJMK1000320;4511;28VH;54944997.92;1648349.94;Fritsch, Trantow and Sporer;Garden, Shoes, Baby & Grocery;lambert@oconnell.net;true
DEJ1128330;Tiara;GP;2016021818;EDBR1562470;L5H1;28VH;34868444.71;3486844.47;Wehner-Lemke;Music, Tools & Home;linwood.torphy@bosco.io;true
DEJ1128330;Tiara;GP;2016021818;GYFD1228113;20PF;22P1;51503716.88;5150371.69;Armstrong-Goldner;Automotive, Sports, Games & Clothing;caria@cronin.io;true
NLH1771681;Port Noemie;TC;201602165;ATMP1759885;40RT;8888;6006634.08;180199.02;Dach-Zulauf;Industrial, Clothing, Garden & Shoes;grady@kihn.net;true
MBV1836745;Port Guiseppeburgh;NO;2016021915;BCHE1343448;26G3;42G0;144722261.58;4341667.85;Gutkowski-Will;Home, Kids & Books;ivah@mckenzie.biz;false
JMP1637582;East Zechariahland;AQ;2016021513;HYUJ1409706;22H5;45G0;20037446.93;601123.41;Friesen, Oberbrunner and Fritsch;Shoes, Garden, Movies & Grocery;mose@moore.name;true
FUS1202266;East Mustafaland;GU;2016021816;UBRI1681197;28VH;8888;42572445.81;4257244.58;Rau and Sons;Sports & Grocery;hattie@littlemccullough.info;true
JET1053895;Jamil;TM;2016021914;TLHX1505240;L0G9;28VH;28013357.18;840400.72;Bogan-Veum;Sports & Industrial;hilbert_rosenbaum@stark.name;true
DEJ1128330;Tiara;GP;2016021818;RFGK1728276;28VH;22UP;64270860.92;6427086.09;Nienow-Abernathy;Beauty;cicero_goodwin@zieme.info;true
SQH1155999;Aileen;GN;201602191;TCSK1473266;42PF;22R1;21846803.49;655404.1;Stiedemann-Orn;Electronics;wallace_pagac@bergstrom.biz;true
JMP1637582;East Zechariahland;AQ;2016021513;VJSW1579279;L2H6;22T0;22957490.42;688724.71;Murazik LLC;Grocery & Kids;abdul_schaefer@schultz.info;true
FUS1202266;East Mustafaland;GU;2016021816;HDRC1503113;49P5;42VH;14156467.29;424694.02;Robel Group;Shoes & Jewelery;mara@grant.com;true
DEJ1128330;Tiara;GP;2016021818;DSGM1339573;20T1;28VH;18220264.19;1822026.42;Cummings, Bashirian and Torphy;Baby & Sports;selmer.wyman@doyle.name;false
IWE1254579;North Creola;HR;2016021919;LTBM1599254;20PL;8888;45345363.13;1360360.89;Frami, Feil and Little;Home & Books;bridie.mcclure@lesch.name;false
KSP1096387;Wiley;CF;201602199;WKFR1572894;2252;28VH;2014254.53;201425.45;Cronin-Hahn;Music, Health, Computers, Kids & Baby;jackeline@stehr.info;true
YZX1455509;Marksshire;CH;2016021712;TRFA1953641;28VH;22R1;102231281.94;5111564.1;Bradtke-Abshire;Automotive, Jewelery, Garden, Books & Grocery;garth@ortiz.com;true
JMP1637582;East Zechariahland;AQ;2016021513;PTQO1968117;40P1;42U1;34116712.06;3411671.21;Wehner Inc;Grocery;monique_greenfelder@windler.net;true
GEU1548633;Lomaton;CK;201602204;CIPU1939108;45G0;12TR;42574399.02;2128719.95;Stiedemann and Sons;Garden;opal_cummings@maggiofeeney.org;true
NCZ1777367;East Savanahton;ER;2016021920;MFOU1196148;45H0;28VH;102137071.38;10213707.14;Schinner, Walter and Connelly;Industrial & Electronics;zaria@mitchellschulist.io;true
DEJ1128330;Tiara;GP;2016021818;ISTZ1222984;20RS;28VH;41601404.7;1248042.14;Kuhn LLC;Clothing;larry@jaskolski.org;true
SQH1155999;Aileen;GN;201602191;QZKL1853985;4260;28VH;187048554.8;18704855.48;Kautzer-Herzog;Automotive, Kids, Clothing & Movies;ari.bernhard@hammes.com;true
GEU1548633;Lomaton;CK;201602204;HLDG1670632;4071;22H0;38433326.49;1921666.32;Hane, Kertzmann and Kulas;Outdoors, Computers, Tools & Books;paolo_howell@lehner.co;true
RYP1117603;New Santinoberg;AZ;201602187;VEZI1053174;2117;28VH;118882952.71;11888295.27;Keebler, Kulas and Goodwin;Baby, Jewelery, Automotive & Home;blake@hills.org;true
GEU1548633;Lomaton;CK;201602204;ZHBS1467991;22H2;28VH;166739888.14;5002196.64;Jacobson and Sons;Beauty;alexys_lang@schulistgibson.biz;false
SQH1155999;Aileen;GN;201602191;DENF1086740;40T3;42VH;54560748.33;2728037.42;Kulas, Corkery and Oberbrunner;Health, Automotive, Electronics & Kids;orlo@carrollkovacek.io;true
AMC1861710;Jayden;BD;201602183;VRKB1825210;8500;42R1;5264354.42;263217.72;Witting Inc;Sports & Movies;bella_wunsch@bauchbogan.io;false
GLV1922612;Eulalia;TD;201602178;FXEG1318207;2267;28VH;44569820.88;2228491.04;Collins, Bruen and Grimes;Games, Garden, Sports, Jewelery & Movies;lenna_murazik@connelly.info;true
TCU1641123;New Margarete;NU;201602202;MKJC1394642;42BK;28VH;136032918.63;6801645.93;Olson-Fahey;Automotive;jada@botsfordhaley.biz;true
NCZ1777367;East Savanahton;ER;2016021920;PJNR1310128;4302;22P1;34626864.34;1038805.93;Schroeder Inc;Music, Movies, Games & Jewelery;reva.cremin@abbott.org;true
GYR1192020;Emardland;RU;201602156;TKFB1619614;4252;22H0;67786273.1;6778627.31;Bahringer and Sons;Electronics, Beauty, Movies & Baby;hilbert.borer@macgyver.name;true
SQH1155999;Aileen;GN;201602191;LGKJ1048851;4167;28VH;41883290.39;4188329.04;Jacobs LLC;Jewelery, Baby, Computers & Beauty;armando@donnelly.io;true
SQH1155999;Aileen;GN;201602191;TAEO1953283;42HR;22H0;25184077.86;2518407.79;Carter Group;Industrial, Computers, Jewelery & Clothing;thelma.ernser@pollich.co;true
GEU1548633;Lomaton;CK;201602204;JMYG190Z978;2215;28VH;9890266.08;989026.61;Huels LLC;Industrial, Books, Grocery & Shoes;lexi_lebsack@hettinger.org;true
JET1053895;Jamil;TM;2016021914;EAQO1539643;45H5;22R1;89218775.4;4460938.77;Anderson, Hickle and Kiehn;Baby & Outdoors;myrna@kreiger.org;true
MBV1836745;Port Guiseppeburgh;NO;2016021915;EYTS1629257;4031;22VH;237103975.45;23710397.55;Hettinger, Bartell and Tillman;Garden & Health;abdul_ondricka@beahanlowe.com;true
NLH1771681;Port Noemie;TC;201602165;RJEH1327870;42R1;42VH;131179927.39;6558996.37;Harris-Wolff;Computers, Books, Kids & Sports;kathleen@muller.name;true
DEJ1128330;Tiara;GP;2016021818;DOCT1869341;L5G1;22H0;40852650.8;1225579.52;Weber Group;Garden;ellsworth_bernhard@waelchi.name;true
NCZ1777367;East Savanahton;ER;2016021920;TGJF1232466;20B6;8888;26319403.9;1315970.2;Conn, Schmitt and Bechtelar;Automotive & Garden;khalil@keler.com;true
KSP1096387;Wiley;CF;201602199;IGXQ1794096;2001;22VH;40794432.71;2039721.64;Thiel, Feil and Kuhlman;Music;elvie@larson.com;true
NLH1771681;Port Noemie;TC;201602165;LESN1968884;2015;22H0;7078257.88;353912.89;Bernhard Group;Baby, Computers & Tools;fausto@nienow.net;true
KSP1096387;Wiley;CF;201602199;PQJS1669343;28VH;28VH;28555944.12;2855594.41;Schimmel and Sons;Sports & Beauty;ibrahim@creminemard.name;true
RYP1117603;New Santinoberg;AZ;201602187;TPHS1602657;42B6;L5G1;42919605.36;2145980.27;Zemlak-Flatley;Kids, Health, Automotive & Tools;kimberly@moriette.org;false
MBV1836745;Port Guiseppeburgh;NO;2016021915;FKXD1723767;4432;28VH;129581624.23;6479081.21;Kub-Huels;Beauty, Shoes & Industrial;guy@haag.info;true
KSP1096387;Wiley;CF;201602199;RUMO1570842;2251;22R1;58845766.0;2942288.3;Kovacek LLC;Automotive, Tools & Health;darby_prohaska@beattybradtke.com;true
GEU1548633;Lomaton;CK;201602204;SWYM1937819;40R2;28VH;94008094.16;4700404.71;Blick LLC;Computers, Jewelery & Grocery;estell@stiedemannbauch.name;true
POG1615575;Lake Eribertoland;CR;2016021611;HJLP1519858;2200;28VH;91432730.19;4571636.51;Wisozk Inc;Sports;maegan.reichel@hintz.io;false
NLH1771681;Port Noemie;TC;201602165;LVRT1719418;40U5;42R1;21616080.3;2161608.03;Mayert, Wiegand and Prohaska;Sports, Baby, Home, Health & Movies;jacynthe@halvorsonfeest.org;true
JET1053895;Jamil;TM;2016021914;LYFP1385556;2275;12TR;82650369.16;8265036.92;Sipes-Osinski;Sports;lester@jenkinsdibbert.io;true
NCZ1777367;East Savanahton;ER;2016021920;ZGXM1193612;48UT;42U1;66284703.79;6628470.38;Bailey-Greenholt;Kids, Health, Grocery & Games;breanna@bogan.biz;true
AMC1861710;Jayden;BD;201602183;JKAH1323593;20R0;29P0;22477148.71;674314.46;Feest and Sons;Electronics, Kids, Games & Health;garland.hagenes@colefisher.info;true
NCZ1777367;East Savanahton;ER;2016021920;WYRP1456394;4264;28VH;8043871.0;804387.1;Bahringer-Lubowitz;Home, Books, Kids & Toys;precious.reilly@hane.io;true
GYR1192020;Emardland;RU;201602156;LIGT1404458;22G2;L5R1;69356408.64;3467820.43;Howell, Toy and Bernier;Grocery, Outdoors & Movies;jennings_blick@heller.info;true
YZX1455509;Marksshire;CH;2016021712;SZOE1524818;4003;45G0;91917329.45;9191732.95;Hammes-Littel;Games, Clothing, Health, Electronics & Jewelery;josephine_bednar@gerlach.info;false
NLH1771681;Port Noemie;TC;201602165;FIPG1879944;20R1;28VH;4434893.86;133046.82;Collins, Schmidt and Stoltenberg;Grocery, Toys & Clothing;tad@weinatcorwin.name;true
IWE1254579;North Creola;HR;2016021919;XBHA1115798;22T7;22VH;48652757.14;1459582.71;Feest-Jacobson;Books, Kids, Health & Computers;brandon.schimmel@king.name;true
KSP1096387;Wiley;CF;201602199;MAJF1565544;42R9;22B0;29370042.3;881101.27;Maggio, McCullough and Johnson;Jewelery, Shoes, Baby, Clothing & Toys;colten@robel.io;false
AMC1861710;Jayden;BD;201602183;TQZE1167148;20V0;42G0;99900.99;4995.05;Murazik-Klocko;Books, Home, Tools & Garden;devonte@schaefer.io;true
