tx_id|tx_time|buyer|currency_code|payment_type|credit_card_number|country|department|product|item_price|coupon_code|was_returned
QILABVS129|2010-01-06T19:37:12Z|Dr. Rachel Metz|JPY|AMERICAN_EXPRESS|1126-1431-1256-1569|VU|Health|Sleek Paper Plate|72.26|SKB2|false
MPUTVRZ180|2010-11-08T17:04:55Z|Dr. Lulu Hudson|GBP|AMERICAN_EXPRESS|1060-1332-1594-1708|LA|Electronics|Incredible Copper Bottle|30.79||bounce
OEZLTGP132|2010-07-15T20:05:48Z|Hildegard Lind|USD|DANKORT|1093-1284-1307-1237|VE|Kids|Aerodynamic Plastic Shoes|44.88||false
FOHKANZ180|2010-07-23T21:06:45Z|Dr. Retha Weissnat|USD|FORBRUGSFORENINGEN|1039-1061-1066-1623|TT|Clothing|Ergonomic Copper Lamp|80.95|SOT2|false
RGUZANI100|2010-01-03T12:10:00Z|Cecil Keeling|CAD|FORBRUGSFORENINGEN|1210-1579-1749-1571|HM|Kids|Enormous Plastic Table|8.39||false
RGUZANI100|2010-01-03T12:10:00Z|Cecil Keeling|CAD|FORBRUGSFORENINGEN|1210-1579-1749-1571|HM|Beauty|Awesome Cotton Keyboard|3.68||false
RGUZANI100|2010-01-03T12:10:00Z|Cecil Keeling|CAD|FORBRUGSFORENINGEN|1210-1579-1749-1571|HM|Clothing|Gorgeous Iron Knife|3.1||false
TXQYIML142|2010-03-23T14:58:25Z|Dianna Collier|GBP|MASTERCARD|1638-1460-1331-1043|IL|Home|Gorgeous Copper Keyboard|96.57||false
LWSHVQD147|2010-12-13T15:09:56Z|Anastacio Heller|AUD|VISA|1410-1710-1346-1151|KW|Tools|Rustic Copper Bottle|94.15||false
KCGDAZE109|2010-10-27T04:24:58Z|Armani Eichmann|USD|FORBRUGSFORENINGEN|1876-1037-1787-1706|US|Kids|Synergistic Copper Plate|34.01|HWT2|false
KCGDAZE109|2010-10-27T04:24:58Z|Armani Eichmann|USD|FORBRUGSFORENINGEN|1876-1037-1787-1706|US|Kids|Sleek Leather Hat|36.64|MQD2|bounce
KCGDAZE109|2010-10-27T04:24:58Z|Armani Eichmann|USD|FORBRUGSFORENINGEN|1876-1037-1787-1706|US|Clothing|Lightweight Paper Wallet|12.05||false
KCGDAZE109|2010-10-27T04:24:58Z|Armani Eichmann|USD|FORBRUGSFORENINGEN|1876-1037-1787-1706|US|Garden|Incredible Copper Gloves|4.19|ITK2|false
EKHRCUY146|2010-04-07T02:10:18Z|Mrs. Ramon Schuppe|USD|DANKORT|1238-1024-1300-1827|BG|Sports|Practical Leather Plate|73.85|ZHP2|bounce
RXEBWKY152|2010-02-01T07:31:48Z|Zoie Effertz|USD|DANKORT|1130-1208-1167-1616|BW|Jewelery|Heavy Duty Wooden Wallet|32.37||bounce
VNDCRJX128|2010-03-18T13:51:21Z|Demario Rippin|CAD|MASTERCARD|1259-1995-1450-1196|SM|Toys|Incredible Aluminum Watch|30.85||false
HANFTVC194|2010-08-12T11:48:43Z|Tyrese O'Hara DVM|USD|DANKORT|1802-1992-1757-1606|ES|Garden|Lightweight Linen Bench|30.45||false
QGZAFJE115|2010-08-14T01:58:36Z|Noble Gaylord IV|EUR|JCB|1961-1635-1846-1302|WS|Outdoors|Heavy Duty Paper Hat|95.06||false
RKGBFIY122|2010-03-01T17:33:28Z|Armani Breitenberg|EUR|MASTERCARD|1039-1831-1053-1384|CL|Music|Rustic Iron Car|20.5|SJC2|defect
RKGBFIY122|2010-03-01T17:33:28Z|Armani Breitenberg|EUR|MASTERCARD|1039-1831-1053-1384|CL|Electronics|Rustic Cotton Coat|11.86||false
RKGBFIY122|2010-03-01T17:33:28Z|Armani Breitenberg|EUR|MASTERCARD|1039-1831-1053-1384|CL|Garden|Practical Aluminum Watch|1.39||false
RKGBFIY122|2010-03-01T17:33:28Z|Armani Breitenberg|EUR|MASTERCARD|1039-1831-1053-1384|CL|Baby|Intelligent Aluminum Shoes|9.94|KJL2|false
BWSCDTZ176|2010-05-03T14:06:53Z|Peggie Schoen|GBP|AMERICAN_EXPRESS|1624-1477-1565-1000|DO|Beauty|Practical Linen Gloves|26.3||false
YKOLPXZ128|2010-07-28T11:03:04Z|Jayde O'Conner PhD|CAD|VISA|1025-1216-1645-1076|UM|Shoes|Incredible Wooden Chair|9.64||false
OVXAPJU153|2010-11-29T07:25:55Z|Melany Hauck|USD|AMERICAN_EXPRESS|1978-1097-1442-1682|RE|Garden|Durable Marble Pants|2.4||false
OVXAPJU153|2010-11-29T07:25:55Z|Melany Hauck|USD|AMERICAN_EXPRESS|1978-1097-1442-1682|RE|Health|Practical Wooden Plate|4.46||false
OVXAPJU153|2010-11-29T07:25:55Z|Melany Hauck|USD|AMERICAN_EXPRESS|1978-1097-1442-1682|RE|Sports|Sleek Plastic Chair|2.11||false
OVXAPJU153|2010-11-29T07:25:55Z|Melany Hauck|USD|AMERICAN_EXPRESS|1978-1097-1442-1682|RE|Grocery|Lightweight Marble Shirt|30.9||false
OVXAPJU153|2010-11-29T07:25:55Z|Melany Hauck|USD|AMERICAN_EXPRESS|1978-1097-1442-1682|RE|Music|Intelligent Aluminum Car|0.26||defect
ZRVBYKS131|2010-12-23T17:38:40Z|Kaleb Streich|AUD|FORBRUGSFORENINGEN|1052-1742-1414-1092|MT|Grocery|Aerodynamic Granite Shoes|1.2|GJC2|false
ZRVBYKS131|2010-12-23T17:38:40Z|Kaleb Streich|AUD|FORBRUGSFORENINGEN|1052-1742-1414-1092|MT|Grocery|Mediocre Silk Wallet|2.51||bounce
VJIGBLP162|2010-03-05T19:48:56Z|Domenica Abernathy PhD|AUD|FORBRUGSFORENINGEN|1892-1641-1205-1617|BI|Garden|Incredible Marble Bottle|20.16||false
VJIGBLP162|2010-03-05T19:48:56Z|Domenica Abernathy PhD|AUD|FORBRUGSFORENINGEN|1892-1641-1205-1617|BI|Garden|Intelligent Concrete Pants|21.96|JFE2|false
VJIGBLP162|2010-03-05T19:48:56Z|Domenica Abernathy PhD|AUD|FORBRUGSFORENINGEN|1892-1641-1205-1617|BI|Home|Mediocre Wool Bag|0.23||false
VJIGBLP162|2010-03-05T19:48:56Z|Domenica Abernathy PhD|AUD|FORBRUGSFORENINGEN|1892-1641-1205-1617|BI|Garden|Sleek Linen Table|4.12||false
IPRUVXZ144|2010-07-26T07:29:03Z|Dusty Cronin|GBP|AMERICAN_EXPRESS|1526-1541-1238-1565|QA|Kids|Rustic Cotton Plate|22.46||false
GFEQLNW170|2010-02-08T17:58:54Z|Rashad Vandervort|USD|MASTERCARD|1454-1863-1111-1777|EE|Health|Synergistic Granite Watch|90.93||false
TCLEBDG195|2010-06-16T08:17:49Z|Willis Windler PhD|EUR|DANKORT|1511-1186-1953-1790|GU|Kids|Rustic Paper Bottle|77.12||false
UAHILJZ193|2010-01-19T01:02:47Z|Clementina Rau|JPY|JCB|1677-1889-1442-1702|CA|Music|Mediocre Iron Shirt|1.82||false
UAHILJZ193|2010-01-19T01:02:47Z|Clementina Rau|JPY|JCB|1677-1889-1442-1702|CA|Tools|Practical Steel Table|2.62||false
UAHILJZ193|2010-01-19T01:02:47Z|Clementina Rau|JPY|JCB|1677-1889-1442-1702|CA|Clothing|Ergonomic Steel Table|4.68||false
UAHILJZ193|2010-01-19T01:02:47Z|Clementina Rau|JPY|JCB|1677-1889-1442-1702|CA|Books|Incredible Cotton Car|2.24||false
PJNLSRH195|2010-10-03T22:58:19Z|Dovie Parker|USD|DANKORT|1982-1830-1625-1153|PL|Tools|Durable Copper Hat|1.5||bounce
SWNJRQP139|2010-04-22T19:56:55Z|Tiana Jones|JPY|VISA|1378-1102-1491-1817|TR|Automotive|Lightweight Wool Clock|70.95|WTR2|false
GVSJDZW191|2010-09-23T10:24:07Z|Ms. Elenora Dietrich|USD|FORBRUGSFORENINGEN|1697-1830-1200-1938|TD|Books|Incredible Aluminum Pants|39.89|QDK2|false
ZPLGFCT166|2010-02-28T08:28:39Z|Mary Pfannerstill|JPY|JCB|1169-1941-1403-1511|PL|Games|Practical Iron Knife|76.45||bounce
QDLPCZK165|2010-09-13T13:30:03Z|Nola Roberts|AUD|VISA|1440-1311-1907-1593|AW|Sports|Fantastic Plastic Coat|58.17||false
UCAFDIV102|2010-03-17T23:23:26Z|Dr. Mario Kessler|CAD|VISA|1816-1687-1595-1314|EE|Baby|Durable Concrete Shoes|38.65||false
YMEVOKU194|2010-06-18T19:24:55Z|Miss Eileen Kilback|AUD|JCB|1689-1825-1017-1627|BI|Garden|Rustic Wool Pants|28.85||bounce
YMEVOKU194|2010-06-18T19:24:55Z|Miss Eileen Kilback|AUD|JCB|1689-1825-1017-1627|BI|Toys|Enormous Wooden Watch|4.12||false
AKYMOGC187|2010-10-10T15:10:31Z|Chaya Upton|GBP|VISA|1182-1477-1675-1566|YT|Baby|Aerodynamic Wool Shoes|71.95|ITZ2|false
JZLYIRS149|2010-10-14T16:07:05Z|Otis Lakin MD|USD|DANKORT|1917-1145-1149-1275|MN|Outdoors|Incredible Rubber Pants|61.95|ZHV2|false
ZAKUILY148|2010-04-11T20:43:27Z|Elena Donnelly Sr.|GBP|MASTERCARD|1346-1746-1472-1942|BJ|Outdoors|Practical Marble Coat|3.37||false
ZAKUILY148|2010-04-11T20:43:27Z|Elena Donnelly Sr.|GBP|MASTERCARD|1346-1746-1472-1942|BJ|Jewelery|Durable Cotton Table|0.6||defect
ZAKUILY148|2010-04-11T20:43:27Z|Elena Donnelly Sr.|GBP|MASTERCARD|1346-1746-1472-1942|BJ|Home|Enormous Silk Shirt|2.79||false
ZAKUILY148|2010-04-11T20:43:27Z|Elena Donnelly Sr.|GBP|MASTERCARD|1346-1746-1472-1942|BJ|Kids|Synergistic Cotton Gloves|4.8||false
ZAKUILY148|2010-04-11T20:43:27Z|Elena Donnelly Sr.|GBP|MASTERCARD|1346-1746-1472-1942|BJ|Beauty|Ergonomic Paper Chair|0.79|EIZ2|false
DNJCFPV140|2010-04-27T21:14:50Z|Taylor Kilback|USD|MASTERCARD|1287-1598-1813-1431|KY|Sports|Gorgeous Copper Bench|16.63|MTV2|false
CUIVRJY163|2010-04-28T05:05:56Z|Miss Jaunita Auer|GBP|FORBRUGSFORENINGEN|1941-1530-1151-1345|HT|Toys|Fantastic Rubber Plate|23.9||false
JHWDFTR125|2010-03-26T20:16:29Z|Mr. Arlie Dickinson|AUD|MASTERCARD|1313-1534-1315-1388|GB|Outdoors|Fantastic Plastic Gloves|41.55||false
JHWDFTR125|2010-03-26T20:16:29Z|Mr. Arlie Dickinson|AUD|MASTERCARD|1313-1534-1315-1388|GB|Computers|Mediocre Concrete Pants|6.36||false
JHWDFTR125|2010-03-26T20:16:29Z|Mr. Arlie Dickinson|AUD|MASTERCARD|1313-1534-1315-1388|GB|Toys|Lightweight Wool Keyboard|21.27||defect
CNBXKSA189|2010-01-29T02:01:50Z|Furman Davis II|JPY|FORBRUGSFORENINGEN|1753-1314-1377-1840|YE|Home|Fantastic Copper Shoes|82.41||bounce
MPCGJDK136|2010-05-22T21:54:45Z|Nick Kling|CAD|MASTERCARD|1329-1957-1573-1727|SR|Outdoors|Lightweight Wool Gloves|86.25||false
WHOFGQD161|2010-07-10T06:21:02Z|Rashawn Lubowitz|GBP|FORBRUGSFORENINGEN|1078-1260-1804-1238|VN|Clothing|Practical Granite Watch|72.95||false
RISBCVN140|2010-12-05T10:25:38Z|Rhianna Rowe DVM|AUD|MASTERCARD|1828-1385-1889-1086|TZ|Grocery|Practical Granite Keyboard|82.75||defect
AJQPTEZ157|2010-07-23T02:21:41Z|Ozella Rosenbaum|JPY|FORBRUGSFORENINGEN|1063-1816-1652-1697|PY|Kids|Enormous Bronze Knife|97.77|SFG2|false
AKIUZPL104|2010-04-08T23:46:31Z|Robbie Herman|GBP|DANKORT|1872-1343-1519-1949|DZ|Beauty|Small Silk Keyboard|4.51||false
AKIUZPL104|2010-04-08T23:46:31Z|Robbie Herman|GBP|DANKORT|1872-1343-1519-1949|DZ|Grocery|Intelligent Paper Computer|40.37||bounce
AKIUZPL104|2010-04-08T23:46:31Z|Robbie Herman|GBP|DANKORT|1872-1343-1519-1949|DZ|Health|Aerodynamic Granite Hat|1.89|NIZ2|false
AKIUZPL104|2010-04-08T23:46:31Z|Robbie Herman|GBP|DANKORT|1872-1343-1519-1949|DZ|Outdoors|Small Aluminum Table|6.51||false
AKIUZPL104|2010-04-08T23:46:31Z|Robbie Herman|GBP|DANKORT|1872-1343-1519-1949|DZ|Computers|Heavy Duty Marble Keyboard|11.39||bounce
FNRLHIS151|2010-04-16T04:52:05Z|Candido Harber|JPY|DANKORT|1138-1833-1888-1440|TN|Music|Small Cotton Table|54.61||false
GQCUHRT193|2010-09-10T09:13:15Z|Daisha Monahan|JPY|DANKORT|1720-1750-1047-1461|AO|Music|Small Paper Gloves|18.38|QXY2|false
GQCUHRT193|2010-09-10T09:13:15Z|Daisha Monahan|JPY|DANKORT|1720-1750-1047-1461|AO|Industrial|Synergistic Steel Shirt|33.17||false
ZGINBOQ173|2010-08-14T04:53:55Z|Rosetta Welch|AUD|AMERICAN_EXPRESS|1608-1583-1375-1458|MQ|Health|Intelligent Plastic Clock|4.27||false
JDSMEGR121|2010-09-10T17:29:31Z|Maribel Christiansen|EUR|MASTERCARD|1187-1367-1332-1732|SX|Baby|Ergonomic Linen Watch|46.74||false
DHUXWVC113|2010-09-25T18:45:52Z|Judson Kshlerin|GBP|MASTERCARD|1586-1223-1826-1991|SY|Tools|Intelligent Leather Keyboard|28.79||false
DHUXWVC113|2010-09-25T18:45:52Z|Judson Kshlerin|GBP|MASTERCARD|1586-1223-1826-1991|SY|Home|Intelligent Linen Shoes|30.1||false
LMAJCZE162|2010-03-04T11:01:16Z|Walker Sporer|USD|JCB|1609-1326-1436-1828|BE|Outdoors|Incredible Plastic Hat|15.69|QAC2|false
LMAJCZE162|2010-03-04T11:01:16Z|Walker Sporer|USD|JCB|1609-1326-1436-1828|BE|Electronics|Practical Rubber Table|36.86||false
LMAJCZE162|2010-03-04T11:01:16Z|Walker Sporer|USD|JCB|1609-1326-1436-1828|BE|Garden|Durable Cotton Shoes|24.85||defect
BFPNWHR142|2010-01-16T22:59:41Z|Pansy Parisian|AUD|VISA|1115-1182-1500-1861|MR|Books|Aerodynamic Leather Chair|93.23||bounce
SBXWHCG156|2010-05-17T16:51:38Z|Dr. Emmet Dach|EUR|DANKORT|1649-1763-1933-1103|MV|Games|Incredible Plastic Wallet|1.99||false
SBXWHCG156|2010-05-17T16:51:38Z|Dr. Emmet Dach|EUR|DANKORT|1649-1763-1933-1103|MV|Beauty|Sleek Wooden Coat|31.63||false
SBXWHCG156|2010-05-17T16:51:38Z|Dr. Emmet Dach|EUR|DANKORT|1649-1763-1933-1103|MV|Baby|Durable Marble Shirt|16.41||false
SBXWHCG156|2010-05-17T16:51:38Z|Dr. Emmet Dach|EUR|DANKORT|1649-1763-1933-1103|MV|Automotive|Durable Silk Bag|8.63|AFB2|false
FTRZEDB155|2010-01-15T11:20:05Z|Kristina Hudson|GBP|JCB|1859-1840-1654-1498|SZ|Games|Durable Wooden Computer|41.15||defect
IQXHJKB178|2010-03-03T04:05:24Z|Esta Gulgowski DDS|GBP|DANKORT|1106-1931-1563-1476|VA|Sports|Practical Paper Wallet|0.04||false
ALMKYJG105|2010-02-23T19:06:32Z|Wilburn Macejkovic|CAD|JCB|1415-1731-1771-1647|KN|Tools|Small Iron Car|84.4|ZEA2|defect
TCMLNZV128|2010-02-27T15:14:44Z|Kiley O'Keefe|EUR|DANKORT|1810-1823-1465-1392|GY|Grocery|Enormous Linen Chair|38.16||false
OXFBCDV161|2010-10-04T19:41:48Z|Lloyd Leffler|CAD|JCB|1462-1555-1732-1301|AS|Clothing|Enormous Paper Car|26.32||false
OBDGKRI170|2010-09-08T21:35:41Z|Ms. Don Huels|CAD|MASTERCARD|1640-1701-1817-1832|CI|Home|Incredible Leather Coat|24.43||defect
OBDGKRI170|2010-09-08T21:35:41Z|Ms. Don Huels|CAD|MASTERCARD|1640-1701-1817-1832|CI|Baby|Enormous Iron Shirt|1.7|DQX2|false
OBDGKRI170|2010-09-08T21:35:41Z|Ms. Don Huels|CAD|MASTERCARD|1640-1701-1817-1832|CI|Books|Mediocre Aluminum Computer|22.06||defect
PXHUYSV105|2010-04-25T16:05:33Z|Carmella Tromp|JPY|FORBRUGSFORENINGEN|1730-1202-1918-1869|IO|Clothing|Lightweight Leather Shoes|9.15||false
PXHUYSV105|2010-04-25T16:05:33Z|Carmella Tromp|JPY|FORBRUGSFORENINGEN|1730-1202-1918-1869|IO|Music|Aerodynamic Concrete Plate|9.36||false
PXHUYSV105|2010-04-25T16:05:33Z|Carmella Tromp|JPY|FORBRUGSFORENINGEN|1730-1202-1918-1869|IO|Baby|Synergistic Iron Wallet|10.08|UAK2|false
PXHUYSV105|2010-04-25T16:05:33Z|Carmella Tromp|JPY|FORBRUGSFORENINGEN|1730-1202-1918-1869|IO|Books|Durable Granite Shirt|41.34|HFD2|false
PXHUYSV105|2010-04-25T16:05:33Z|Carmella Tromp|JPY|FORBRUGSFORENINGEN|1730-1202-1918-1869|IO|Shoes|Mediocre Steel Keyboard|7.99||bounce
TANRIBO171|2010-11-29T14:10:16Z|Orrin Turner|GBP|DANKORT|1913-1779-1913-1846|FI|Health|Enormous Concrete Wallet|57.41||false
WZTLYKQ137|2010-11-16T16:00:53Z|Vincenzo Glover III|CAD|JCB|1710-1345-1737-1515|NU|Toys|Fantastic Marble Computer|7.93|TUN2|false
IUYWSVQ166|2010-09-23T09:33:06Z|Jake Vandervort Sr.|CAD|DANKORT|1955-1028-1307-1524|LV|Outdoors|Ergonomic Plastic Hat|69.86||bounce
NLCFOQD197|2010-07-06T02:55:15Z|Dr. Dejuan Abbott|AUD|DANKORT|1226-1787-1362-1176|BG|Beauty|Mediocre Leather Knife|1.1|UON2|false
EQXPHBC187|2010-10-04T16:55:20Z|Clark Daugherty DDS|CAD|MASTERCARD|1080-1447-1554-1777|NP|Computers|Synergistic Cotton Wallet|62.32||false
NTABHGK198|2010-03-04T20:03:09Z|Henri Heller|CAD|JCB|1395-1186-1219-1133|KG|Industrial|Durable Leather Table|8.72||bounce
FVICLAO103|2010-01-17T04:20:47Z|Amos Ondricka II|AUD|VISA|1378-1856-1988-1752|PF|Music|Heavy Duty Leather Lamp|48.82||false
WEVCZJR189|2010-11-17T19:17:00Z|Dillan Roob|AUD|VISA|1964-1171-1760-1086|MM|Beauty|Practical Copper Chair|3.4||false
DCNIHQR110|2010-08-24T03:03:21Z|Xavier Kshlerin|GBP|DANKORT|1929-1689-1665-1682|PL|Jewelery|Awesome Paper Knife|36.22||false
WRHJMYX133|2010-10-11T02:52:50Z|Mr. Jaron Jaskolski|GBP|JCB|1314-1835-1017-1524|MW|Electronics|Aerodynamic Copper Clock|72.19||bounce
QDSYROX190|2010-01-27T10:49:31Z|Damion Hermann|JPY|JCB|1945-1878-1106-1286|SM|Health|Rustic Granite Watch|11.78||false
QDSYROX190|2010-01-27T10:49:31Z|Damion Hermann|JPY|JCB|1945-1878-1106-1286|SM|Outdoors|Small Aluminum Gloves|57.28|TXO2|false
GZVRYCQ148|2010-12-06T12:59:20Z|Cayla Torphy|EUR|FORBRUGSFORENINGEN|1131-1120-1784-1740|MQ|Computers|Enormous Bronze Bench|17.92|GLY2|false
VWKGASL138|2010-09-16T09:18:07Z|Miss Weston Predovic|EUR|FORBRUGSFORENINGEN|1438-1935-1652-1767|ZW|Music|Heavy Duty Copper Car|47.4||false
XMSFBAQ139|2010-09-26T04:49:53Z|Greyson Jaskolski|GBP|VISA|1967-1206-1798-1985|PK|Outdoors|Durable Cotton Hat|34.95||false
LPQJNYI131|2010-06-30T13:24:15Z|Precious Herman|CAD|FORBRUGSFORENINGEN|1312-1616-1903-1424|EC|Clothing|Enormous Wooden Car|32.46||false
PNUZVLB108|2010-09-01T04:58:08Z|Fredrick Cummings|GBP|VISA|1888-1624-1013-1022|IL|Tools|Intelligent Cotton Gloves|41.43||false
FNXMSBH133|2010-07-27T23:03:10Z|Dr. Deanna Wilkinson|USD|DANKORT|1195-1304-1699-1656|TK|Automotive|Mediocre Granite Bench|16.77|IHE2|false
